ID,Sex,Height,Weight
1,female,173.4,67.7
2,male,160.1,71.3
3,female,165.2,66.3
4,female,164.1,65.5
5,male,160.9,60.3
6,female,179.6,69
7,male,161.9,75
8,female,174.3,69.6
9,male,144.4,74.7
10,female,192.8,76.1
11,female,180.4,72.9
12,male,171.4,87.5
13,female,171.3,70.4
14,male,148.6,64.5
15,female,164.7,64.8
16,male,160.9,72.8
17,female,169.2,64.7
18,female,178.4,74.5
19,male,158.6,68.8
20,female,170.5,70.9
21,female,180.1,71.3
22,male,160.8,69.7
23,male,177.6,79.7
24,male,157.2,72.6
25,female,171.7,70.1
26,female,173.9,76.7
27,female,167.7,68
28,female,194.1,82.4
29,female,178.3,70.5
30,female,177.3,71.5
31,male,155.2,62.2
32,male,147.8,66.9
33,male,154.9,63.8
34,female,158.1,66.9
35,female,181.6,73.1
36,male,151.3,73.4
37,female,164.8,63.7
38,female,166.1,65
39,male,167.1,69.6
40,female,184.2,74.8
41,female,170.5,65.3
42,female,157.5,65.3
43,female,192.7,79.2
44,female,151.2,60.3
45,female,180.7,67.2
46,male,154.4,74.8
47,female,185.2,73.8
48,female,168.7,65.3
49,male,166,82.2
50,male,161.5,76.5
51,female,179.4,68.9
52,male,148.7,71.4
53,female,179.4,72.6
54,female,185.4,77
55,female,179.8,70.7
56,male,155.1,61.6
57,female,172.6,66.2
58,male,171.9,72.5
59,male,172,76
60,female,184.2,69.3
61,female,183,75.5
62,female,165.6,64.1
63,female,161,63.7
64,male,183.1,84.6
65,female,176.6,70.3
66,male,163,77.7
67,male,148,70.1
68,female,172.3,72.4
69,male,155.3,77
70,male,167.1,70.3
71,female,165.1,67.5
72,male,182,84.3
73,male,164.1,72.2
74,female,175.8,70.1
75,male,174.4,84.3
76,male,170.7,75.5
77,male,151.3,64.3
78,female,161.8,62
79,male,161.3,74.7
80,female,176.6,71.7
81,male,176.1,73.5
82,male,171.8,81.5
83,female,168.8,66.1
84,male,167.6,65.8
85,male,167.8,69.3
86,female,184.6,76.4
87,female,199.2,78
88,female,165.8,64.1
89,female,185.6,74.6
90,female,183.3,74.5
91,female,174.3,70.8
92,male,158.1,73.4
93,female,170.5,66.4
94,female,190.8,79.3
95,female,154.9,61.1
96,male,149.8,67.7
97,male,176,75.7
98,male,148.8,67.4
99,male,153.6,70.2
100,female,168.6,67.1
101,male,169.3,77
102,male,150.4,66.5
103,female,160.6,63.2
104,female,189,75.7
105,male,157.5,68.2
106,female,173.1,76.1
107,male,151.2,65.4
108,male,169.2,77.5
109,female,169.8,68.6
